#LINK
#lang	ja
#attribution_url	https://ja.wikipedia.org/wiki/%E7%99%BE%E4%BA%BA%E4%B8%80%E9%A6%96
#attribution_name	小雀
#license	http://creativecommons.org/publicdomain/zero/1.0/deed.ja
#file_name	hyakuninisshu_data
#download_from	http://linkdata.org/work/rdf1s5297i
#property	上の句	上の句カナ	下の句	下の句カナ	作者
#object_type_xsd	string:ja	string:ja	string:ja	string:ja	string:ja
#property_context	Assertion	Assertion	Assertion	Assertion	Assertion
44	逢ふことの　絶えてしなくは　なかなかに	オーコトノ　タエテシナクワ　ナカナカニ	人をも身をも　恨みざらまし	ヒトオモミオモ　ウラミザラマシ	中納言朝忠
45	あはれとも　いふべき人は　思ほえで	アワレトモ　ユーベキヒトワ　オモオエデ	身のいたづらに　なりぬべきかな	ミノイタズラニ　ナリヌベキカナ	謙徳公
46	由良のとを　渡る舟人　かぢを絶え	ユラノトオ　ワタルフナビト　カジオタエ	ゆくへも知らぬ　恋の道かな	ユクエモシラヌ　コイノミチカナ	曾禰好忠
47	八重葎　しげれる宿の　さびしきに	ヤエムグラ　シゲレルヤドノ　サビシキニ	人こそ見えね　秋は来にけり	ヒトコソミエネ　アキワキニケリ	恵慶法師
48	風をいたみ　岩うつ波の　おのれのみ	カゼオイタミ　イワウツナミノ　オノレノミ	くだけて物を　思ふころかな	クダケテモノオ　オモーコロカナ	源重之
49	みかきもり　衛士のたく火の　夜は燃え	ミカキモリ　エジノタクヒノ　ヨルワモエ	昼は消えつつ　物をこそ思へ	ヒルワキエツツ　モノオコソオモエ	大中臣能宣
50	君がため　惜しからざりし　命さへ	キミガタメ　オシカラザリシ　イノチサエ	長くもがなと　思ひけるかな	ナガクモガナト　オモイケルカナ	藤原義孝
51	かくとだに　えやはいぶきの　さしも草	カクトダニ　エヤワイブキノ　サシモグサ	さしも知らじな　燃ゆる思ひを	サシモシラジナ　モユルオモイオ	藤原実方朝臣
52	明けぬれば　暮るるものとは　知りながら	アケヌレバ　クルルモノトワ　シリナガラ	なほうらめしき　朝ぼらけかな	ナオウラメシキ　アサボラケカナ	藤原道信朝臣
53	嘆きつつ　ひとり寝る夜の　明くる間は	ナゲキツツ　ヒトリヌルヨノ　アクルマワ	いかに久しき　ものとかは知る	イカニヒサシキ　モノトカワシル	右大将道綱母
